Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Масанчи, 23/12",191 помещение,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.5,41,87273391231,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.259034,76.927555,https://2gis.com/firm/70000001060381365,branch
Shygys MED,аптека,Аптеки,"улица Биянху, 160",,050058,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,3,87472577010,,,,,,,,,,https://wa.me/77472577010,,,,,,43.279603,76.883936,https://2gis.com/firm/70000001038236121,branch
Мед+фарм,аптека,Аптеки,"улица Байтурсынова, 59",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+05:00,3.7,38,87272926851,87072606092,,,,,,https://instagram.com/medpluspharmsp,,,https://wa.me/77072606092,,,,,,43.251416,76.925683,https://2gis.com/firm/70000001033681555,branch
Smart аптека,,Аптеки; БАДы; Медицинские расходные материалы; Доставка лекарств; Фитопродукция,"улица Розыбакиева, 95/1",перед супермаркетом Беккер,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.2,5,87079396761,,,,,http://www.smart-apteka.kz,,https://instagram.com/smart.apteka,,,https://wa.me/77079396761,,,,,,43.234351,76.890054,https://2gis.com/firm/70000001088904196,branch
Lika Pharm,аптека,Аптеки,"улица Розыбакиева, 70",1 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,1.1,25,87272321134,,,,,,,,,,,,,,,,43.246253,76.889201,https://2gis.com/firm/70000001045488920,branch
Аптека Со склада,,Аптеки,"проспект Абая, 99",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:40; Вт: 08:00-21:40; Ср: 08:00-21:40; Чт: 08:00-21:40; Пт: 08:00-21:40; Сб: 08:00-21:40; Вс: 08:00-21:40,+05:00,2.8,45,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.241143,76.921777,https://2gis.com/firm/70000001062093981,branch
Melissa,сеть аптек,Аптеки,"проспект Достык, 42",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,174,87272910888,87272912277,87012960888,,,http://melissaapteka.kz,,https://instagram.com/melissa_apteka,,,https://wa.me/77012960888,,,,,,43.250225,76.956299,https://2gis.com/firm/9429940000819607,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"улица Тимирязева, 101",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.8,156,87272748389,87273398473,87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.225665,76.896109,https://2gis.com/firm/9429940000822469,branch
Invivo,аптека,Аптеки,"улица Жамбыла, 116",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.6,37,87066903030,,,,,http://invivo.kz,,https://instagram.com/invivokz,https://facebook.com/invivokz,https://vk.com/public213214447,https://wa.me/77066903030,,,,,https://youtube.com/channel/UCaTl33KX8Bl2stUun0qdajQ,43.246103,76.924682,https://2gis.com/firm/70000001080793809,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"проспект Абая, 109в",цокольный этаж; C-01,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.3,36,87273398278,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.240529,76.905221,https://2gis.com/firm/9429940000821924,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"проспект Райымбека, 150",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.9,41,87272332160,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.26938,76.936419,https://2gis.com/firm/9429940000799655,branch
Аптека,,Аптеки,"улица Байзакова, 225",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.9,23,87082875197,,,,,,,,,,https://wa.me/77006539869,,,,,,43.246906,76.912109,https://2gis.com/firm/70000001047243353,branch
Invivo,аптека,Аптеки,"улица Дунганская, 16",2 этаж,050058,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.9,1,87016661938,,,,,http://invivo.kz,,https://instagram.com/invivokz,https://facebook.com/invivokz,https://vk.com/public213214447,,,,,,https://youtube.com/channel/UCaTl33KX8Bl2stUun0qdajQ,43.284714,76.884849,https://2gis.com/firm/70000001069618483,branch
Аптека Со склада,,Аптеки,"проспект Сейфуллина, 553",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:30; Вт: 08:00-21:30; Ср: 08:00-21:30; Чт: 08:00-21:30; Пт: 08:00-21:30; Сб: 08:00-21:30; Вс: 08:00-21:30,+05:00,3.0,78,87273394274,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.251381,76.932813,https://2gis.com/firm/70000001059880961,branch
Алмасат,аптека,Аптеки,"проспект Сейфуллина, 174Б",1 этаж,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,3.8,27,87273393502,,,,,,,,,,,,,,,,43.30783,76.939934,https://2gis.com/firm/70000001044743771,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"проспект Абая, 157а",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.3,3,87273231718 (единая справочная: пн-вс 8:00-20:00),87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.239,76.890677,https://2gis.com/firm/70000001088461646,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"микрорайон Аксай 2, 73",55 офис; 1 этаж,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.9,119,87272382741,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.234493,76.83804,https://2gis.com/firm/70000001035153450,branch
Инжу,аптека,Аптеки; Бытовая химия; Средства гигиены,"проспект Турара Рыскулова, 62",1 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.1,6,87085438728,,,,,,,,,,https://wa.me/77085438728,,,,,,43.290217,76.929154,https://2gis.com/firm/70000001066182219,branch
Аптека,,Аптеки,"проспект Турара Рыскулова, 103/3",39 бутик; 1 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,3.5,5,87272486727,87752591430,,,,,,,,,https://wa.me/77752591430,,,,,,43.266705,76.869074,https://2gis.com/firm/9429940001292669,branch
Хэи Компани,аптека,Аптеки,"улица Жумалиева, 79",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.6,20,,,,,,,,,,,,,,,,,43.254114,76.912857,https://2gis.com/firm/70000001068975781,branch
АлиС Фарм,социальная аптека,Аптеки,"улица Мажорова, 52",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,87711540323,,,,,,,,,,https://wa.me/77711540323,,,,,,43.259348,76.874094,https://2gis.com/firm/70000001083250783,branch
Дежурная,аптека,Аптеки; Оптика; БАДы; Средства гигиены; Эротические товары,"проспект Достык, 49",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,128,87272918520,87071615090,,,,,,,,,https://wa.me/77071615090,,,,,,43.250236,76.9557,https://2gis.com/firm/9429940000792778,branch
Europharma,аптека №58,Аптеки,"улица Хан шатыр, 273",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.8,116,87014937542,,,,,http://jivo.chat/K4Ifx7vYhI,,https://instagram.com/europharma,,,https://wa.me/77757354444,,,,https://t.me/europharma_chatbot,https://youtube.com/channel/UCT6RrHiByBYg88-U7F-HOuQ,43.250069,76.823843,https://2gis.com/firm/70000001039687177,branch
Аптека,,Аптеки,"проспект Турара Рыскулова, 103/3",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.0,5,,,,,,,,,,,,,,,,,43.266576,76.868708,https://2gis.com/firm/70000001080682538,branch
Цветная,аптека,Аптеки; БАДы,"проспект Сейфуллина, 483",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.5,54,87775045973,,,,,http://cvetnaya.kz/,,https://instagram.com/cvetnaya.kz,,,,,,,,,43.264087,76.930252,https://2gis.com/firm/9429940001660443,branch
Таблетка,аптека,Аптеки,"улица Желтоксан, 164",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.3,58,,,,,,,,https://instagram.com/tabletka_pharmacy,,,https://wa.me/77072561363,,,,,,43.24376,76.941276,https://2gis.com/firm/70000001044684194,branch
Аптека,ИП Алдиар,Аптеки,"улица Карасай батыра, 153",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.3,22,87075466726,,,,,,,,,,https://wa.me/77075466726,,,,,,43.249343,76.912496,https://2gis.com/firm/70000001054337356,branch
Europharma,аптека №74,Аптеки,"микрорайон Самал-2, 35",1 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.3,92,87016042689,,,,,http://europharma.kz,,https://instagram.com/europharma,,,https://wa.me/77016042689,,,,https://t.me/europharma_chatbot,https://youtube.com/channel/UCT6RrHiByBYg88-U7F-HOuQ,43.230353,76.953888,https://2gis.com/firm/9429940000849380,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"микрорайон Самал-2, 85",,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.5,28,87273391236,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.232314,76.953664,https://2gis.com/firm/70000001059359209,branch
Центральный Аптечный Дом,сеть аптек,Аптеки; Изготовление лекарств на заказ; Доставка лекарств,"улица Толе би, 221",,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.0,2,87052552525 (единая справочная: круглосуточно),,,kazpharmacy@mail.ru,,http://pharmahome.kz,,https://instagram.com/apteka_dom,,,https://wa.me/77052552525,,,,,,43.250819,76.881215,https://2gis.com/firm/70000001083384917,branch
Аптека Магия,аптека,Аптеки,"проспект Жибек Жолы, 55",1 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,2.1,18,,,,,,,,,,,,,,,,,43.262872,76.953784,https://2gis.com/firm/70000001019374297,branch
От А до Я,аптека,Аптеки,"улица Каныша Сатпаева, 30в",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,10,87074558071,,,,,http://apteka-ot-a-do-ya.satu.kz,,https://instagram.com/darihana_a_ya_,,,https://wa.me/77074558071,,,,,,43.235589,76.906504,https://2gis.com/firm/70000001080965613,branch
Evi Car,аптека,Аптеки,"проспект Сейфуллина, 534",цокольный этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,36,,,,,,,,,,,,,,,,,43.242845,76.93457,https://2gis.com/firm/9429940000901450,branch
Esem Pharmacy,аптека,Аптеки; БАДы; Медицинские приборы,"проспект Сейфуллина, 580",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-16:00,+05:00,4.4,26,87018747747,,,,,,,https://instagram.com/esempharmacy,,,https://wa.me/77018747747,,,,,,43.228084,76.939309,https://2gis.com/firm/70000001050226819,branch
Europharma,аптека №222,Аптеки,"улица Розыбакиева, 33/1",,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,2.7,50,87016041990,,,,,http://jivo.chat/K4Ifx7vYhI,,https://instagram.com/europharma,,,https://wa.me/77757354444,,,viber://chat/?number=77016041990,https://t.me/europharma_chatbot,https://youtube.com/channel/UCT6RrHiByBYg88-U7F-HOuQ,43.256189,76.887136,https://2gis.com/firm/70000001033815427,branch
Alash,аптека,Аптеки; БАДы,"улица Жамбыла, 155 к1",вход с ул. Жумалиева,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.1,24,87079328070,,,,,,,https://instagram.com/alashapteka,,,https://wa.me/77079328070,,,viber://chat/?number=77079328070,https://t.me/alashapteka,,43.246003,76.913868,https://2gis.com/firm/70000001055254990,branch
Аптека Со склада,,Аптеки,"улица Толе би, 124",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (зимний период: пн-вс 8:00-21:00),+05:00,1.5,44,87273394270,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.25273,76.919546,https://2gis.com/firm/70000001059965157,branch
Тау,аптека,Аптеки,"улица Карасай батыра, 107",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.8,28,87759779490,87074854641,,,,,,,,,https://wa.me/77074854641,,,,,,43.250195,76.92536,https://2gis.com/firm/9429940000896809,branch
Аптека Со склада,,Аптеки,"улица Тимирязева, 44",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.6,45,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.22548,76.903877,https://2gis.com/firm/70000001060990274,branch
Аптека Со склада,,Аптеки,"улица Байтурсынова, 43",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,1.5,2,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.253069,76.925457,https://2gis.com/firm/70000001089453408,branch
Аптека,,Аптеки,"улица Карасай батыра, 110",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,87751904646,87013591799,,,,,,,,,https://wa.me/77751904646,https://wa.me/77013591799,,,,,43.249503,76.919733,https://2gis.com/firm/70000001083658217,branch
Аптека Со склада,,Аптеки,"улица Кабанбай батыра, 199а",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (зимний период: пн-вс 8:00-20:00),+05:00,3.9,32,87273394230,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.246925,76.903568,https://2gis.com/firm/70000001056694858,branch
Barys express,аптека,Аптеки,"улица Манаса, 67",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.7,20,87273397729 (единая справочная: круглосуточно),87072397729 (единая справочная: круглосуточно),,,,,,https://instagram.com/barys_express,,,,,,,,,43.232312,76.909324,https://2gis.com/firm/70000001033373242,branch
Добрая,аптека №21,Аптеки; Средства гигиены; БАДы; Доставка лекарств; Детское питание; Товары для новорождённых,"улица Ходжанова, 81 блок 2",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-02:00; Вт: 06:00-02:00; Ср: 06:00-02:00; Чт: 06:00-02:00; Пт: 06:00-02:00; Сб: 06:00-02:00; Вс: 06:00-02:00,+05:00,3.6,51,87279728221,87089728221,87273956749,dobraya.apteka.info@gmail.com,,http://dobraya-apteka.kz,,https://instagram.com/dobraya.apteka,https://facebook.com/dobraya.apteka,,https://wa.me/77087416121,,,,,,43.208134,76.911993,https://2gis.com/firm/70000001053012733,branch
Mega Pharm,аптека социальная,Аптеки,"микрорайон Казахфильм, 38а",1 этаж,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,66,87072993335,,,,,,,,,,https://wa.me/77072993335,,,,,,43.196426,76.908652,https://2gis.com/firm/70000001061796093,branch
Добрая,аптека №8,Аптеки; Средства гигиены; БАДы; Доставка лекарств; Детское питание; Товары для новорождённых,"улица Жандосова, 21",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.3,54,87089724108,,,dobraya.apteka.info@gmail.com,,http://dobraya-apteka.kz,,https://instagram.com/dobraya.apteka,https://facebook.com/dobraya.apteka,,https://wa.me/77087416121,,,,,,43.232029,76.899171,https://2gis.com/firm/70000001055511714,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"проспект Гагарина, 181",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.9,34,87273393494,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.218216,76.897059,https://2gis.com/firm/70000001045014968,branch
Medical Assistance Group,аптека,Аптеки,"улица Ришата и Муслима Абдуллиных, 6",1 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00,+05:00,3.7,37,87272599790 (доп.3560),,,,,http://assistance.kz,,,,,,,,,,,43.264242,76.959415,https://2gis.com/firm/9429940001676752,branch
Аптека Рядом,,Аптеки,"8-й микрорайон, 58а",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,29,87073559372,,,,,,,,,,https://wa.me/77073559372,,,,,,43.226489,76.873702,https://2gis.com/firm/70000001078609424,branch
Оранжевая,аптека,Аптеки,"улица Кажымукана, 20",1 этаж,050059,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,70,87272482129,,,,,,,,,,,,,,,,43.225046,76.95895,https://2gis.com/firm/70000001030940756,branch
Айлин,аптека,Аптеки,"улица Байсеитовой, 47",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,2.9,13,87272297963,,,,,,,,,,,,,,,,43.240173,76.944835,https://2gis.com/firm/70000001030321812,branch
Аптека Магия,аптека,Аптеки,"улица Толе би, 102",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.4,81,,,,,,,,,,,,,,,,,43.253228,76.924833,https://2gis.com/firm/70000001029184341,branch
