Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Esentai Fit+Spa,спортивно-оздоровительный центр,Фитнес-клубы; Спортивные секции; Тренажёрные залы; Бассейны; SPA-процедуры,"проспект Аль-Фараби, 77/8","-1, 5 этаж",050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,1.9,387,87273555556 (регистратура: пн-пт 7:00-23:00; сб-вс 7:00-21:00),87273555557 (отдел продаж: пн-вс 9:00-21:00),87478071446,,http://esentaifitspa.com,,https://instagram.com/esentaifitspa,,https://facebook.com/esentaifitspa,,https://wa.me/77478071446,,,,,,https://youtube.com/channel/UCY0wPwVCUw14qpVvFKzpOdA/featured,43.219115,76.927978,https://2gis.com/firm/70000001028502157,branch
БАНЗАЙ Fitness,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Спортивные секции; Спортивное питание,"улица Тимирязева, 42 к3",2 этаж; справа от лифта,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 11:00-21:00,+05:00,4.4,327,87273131818,87055551816,,banzai4info@gmail.com,http://banzai.kz,,https://instagram.com/banzai4me,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77055551816,,,,https://t.me/+77479495626,,https://youtube.com/banzai4me,43.225384,76.909698,https://2gis.com/firm/70000001030739917,branch
In Clover,"студия фитнеса, танцев и йоги",Фитнес-клубы; Обучение танцам; Центры йоги,"улица Курмангазы, 95",6 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 12:00-15:00,+05:00,4.6,81,87016774723,87273468903,,,http://inclover.kz,,https://instagram.com/inclover_ydf,,,,https://wa.me/77016774723,,,,https://t.me/+77016774723,,,43.243883,76.931883,https://2gis.com/firm/70000001030320038,branch
Invictus GO,,Фитнес-клубы; Тренажёрные залы,"улица Байтурсынова, 179 блок 2",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.0,73,87066382205,,,,http://invictusgo.kz/,,https://instagram.com/invictusgo,,https://facebook.com/invictusgokz,,https://wa.me/77066382205,,,,,,https://youtube.com/@invictuskz,43.230892,76.934658,https://2gis.com/firm/70000001075863495,branch
ironhouse.kz,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Шевченко, 100",1 этаж,050021,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 10:00-22:00; Вс: 12:00-18:00,+05:00,4.0,111,87055559241,,,,,,https://instagram.com/ironhouse.kz,,,,https://wa.me/77055559241,,,,,,,43.245364,76.933183,https://2gis.com/firm/70000001045925804,branch
Body dance,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Аренда спортивных площадок; Центры йоги,"улица Мынбаева, 47в",,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-22:00; Вт: 08:00-22:00; Ср: 07:00-22:00; Чт: 08:00-22:00; Пт: 07:00-22:00; Сб: 10:00-13:00, 19:00-22:00",+05:00,4.7,6,87073800032 (тренажерный зал),87773624789 (зал секций ),,,,,https://instagram.com/bodydance_almaty,,,,https://wa.me/77073800032,https://wa.me/77773624789,,,,,,43.238875,76.905649,https://2gis.com/firm/9429940000817343,branch
Свиг,фитнес-клуб,Фитнес-клубы; Спортивные секции,"улица Кабанбай батыра, 139",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-20:00; Вт: 08:00-14:00, 15:00-20:00; Ср: 14:00-20:00; Чт: 08:00-13:00, 14:00-20:00; Пт: 08:00-14:00, 15:00-20:00; Сб: 08:00-13:00",+05:00,3.6,5,87272937256,87011357039,,,http://svig.kz,,https://instagram.com/svig_fitness_club,,https://facebook.com/fitness.club.svig,,https://wa.me/77011357039,,,,,,,43.248052,76.918154,https://2gis.com/firm/9429940000800230,branch
19hills,женская фитнес-студия,Фитнес-клубы; Спортивные секции,"улица Шевченко, 96",вход: с ул. Шевченко,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-19:00,+05:00,5.0,62,87074191919,,,,http://19hills.kz,,https://instagram.com/19hills.kz,,,,https://wa.me/77074191919,,,,,,,43.245395,76.93468,https://2gis.com/firm/70000001078569717,branch
BM Wellness Club,велнес-клуб,Фитнес-клубы; Тренажёрные залы; Парикмахерские; Массажист; Велнес-залы; Визажисты; Спортивные секции; Ногтевые студии; Психолог; Эпиляция,"проспект Сейфуллина, 574/1 к2",89 офис,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 10:00-22:00,+05:00,4.3,44,87051827176,,,,http://zapis.kz/bm-wellness-club,,https://instagram.com/bmwellnessclub,,,,https://wa.me/77051827176,,,,https://t.me/+77051827176,,,43.230567,76.938337,https://2gis.com/firm/70000001062159660,branch
BossTangym,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Центры йоги; Спортивные секции,"улица Маметовой, 67",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:30; Вт: 07:00-22:30; Ср: 07:00-22:30; Чт: 07:00-22:30; Пт: 07:00-22:30; Сб: 09:00-22:00,+05:00,4.5,181,87075552277,,,bosstangym67@gmail.com,,,https://instagram.com/bosstangym,,,,https://wa.me/77075552277,,,viber://chat/?number=77075552277,https://t.me/+77075552277,,,43.267266,76.933289,https://2gis.com/firm/70000001065624470,branch
Power Pilates,тренажерный зал,Фитнес-клубы,"улица Тимирязева, 28в",цокольный этаж; в BeTurbo,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-15:00, 17:00-21:00; Вт: 07:30-15:00, 17:00-21:00; Ср: 07:30-15:00, 17:00-21:00; Чт: 07:30-15:00, 17:00-21:00; Пт: 07:30-15:00, 17:00-21:00; Сб: 09:00-15:00",+05:00,5.0,33,87476798363,,,,,,https://instagram.com/powerpilates_almaty,,,,https://wa.me/77476798363,,,,,,,43.229796,76.932819,https://2gis.com/firm/70000001055030509,branch
Тастак,фитнес-клуб,Фитнес-клубы; Бассейны; Тренажёрные залы; Массажист; Бани / Сауны,"улица Толе би, 249-249а",1 этаж,050005,Тастак-2 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 09:00-18:00 (сауна: пн-вс круглосуточно),+05:00,4.0,115,87273740200,87775849000,87273740202,,http://www.fitnestastak.kz,,https://instagram.com/fitnestastak,,,https://vk.com/fitnestastak,https://wa.me/77775849000,,,,,,,43.250461,76.874439,https://2gis.com/firm/9429940000800982,branch
Energy Life,фитнес-студия,Фитнес-клубы; Обучение фитнес-инструкторов; Велнес-залы,"улица Ади Шарипова, 145 к2",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00,+05:00,5.0,2,87028536071,,,,,,https://instagram.com/ems_energylife,,https://facebook.com/energylifekz,,https://wa.me/77028397810,https://wa.me/77028536071,,,,,,43.243855,76.923254,https://2gis.com/firm/70000001080300225,branch
Mind Of Body,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Наурызбай батыра, 10а",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 06:00-24:00; Вт: 06:00-24:00; Ср: 06:00-24:00; Чт: 06:00-24:00; Пт: 06:00-24:00; Сб: 06:00-22:00; Вс: 09:00-22:00,+05:00,4.2,200,87772000272,87272793774,,,,,https://instagram.com/mindofbody.almaty,,,,https://wa.me/77772000272,,,,,,,43.267635,76.934804,https://2gis.com/firm/70000001026899084,branch
Profitnessamg,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Каныша Сатпаева, 33","1, 2 этаж",050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.2,140,87273902900,87783120535,,,,,https://instagram.com/profitnessamg,,,,https://wa.me/77783120535,,,,,,,43.236187,76.908827,https://2gis.com/firm/70000001032227710,branch
Technofit,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"проспект Гагарина, 124",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,4.3,244,87273551777,,,,http://tfit.kz,,https://instagram.com/technofitalmaty,,https://facebook.com/technofitalmaty,,https://wa.me/77777500088,,,,,,,43.238131,76.896306,https://2gis.com/firm/70000001045211884,branch
LegenDa,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"микрорайон Коктем-2, 2",1 этаж,050040,Коктем-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:30-23:00; Вт: 06:30-23:00; Ср: 06:30-23:00; Чт: 06:30-23:00; Пт: 06:30-23:00; Сб: 08:00-22:00,+05:00,4.2,98,87055628492,,,,,,https://instagram.com/legendgym.kz,,,,https://wa.me/77055628492,,,,,,,43.227317,76.920733,https://2gis.com/firm/70000001047197844,branch
Aqqu,​фитнес-студия,Фитнес-клубы,"микрорайон Керемет, 7 к28",,050013,Керемет м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00,+05:00,5.0,5,87015555519,,,,,,https://instagram.com/aqqu.keremet,,,,,,,,,,,43.235405,76.937572,https://2gis.com/firm/70000001083645308,branch
Invictus Sadu,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Центры йоги; Спортивные секции,"проспект Аль-Фараби, 128/7",,050044,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-22:00; Вс: 09:00-22:00,+05:00,3.8,434,87273392323,87770940429,,,http://invictusfitness.kz/sadu,,https://instagram.com/invictusfitnesskz,,https://facebook.com/invictusalmaty,,https://wa.me/77770940429,,,,,,https://youtube.com/channel/UCG8ai94ZaiPOBNd9oG_7h7g,43.213248,76.931973,https://2gis.com/firm/70000001057033854,branch
Lilu fitnes,​фитнес-студия,Фитнес-клубы,"проспект Сейфуллина, 597а",3 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00 (по предварительной записи),+05:00,5.0,6,87772537446,,,,,,https://instagram.com/lilu_fitnes,,,,https://wa.me/77772537446,,,,,,,43.239803,76.93388,https://2gis.com/firm/70000001088241049,branch
Wellness Club Luxor,спортивно-оздоровительный комплекс,Фитнес-клубы; Тренажёрные залы; SPA-процедуры; Массажист; Центры йоги,"проспект Достык, 341",1 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,4.4,94,87272677577 (контакт-центр пн-вс 9:00-19:00),87272677555 (контакт-центр пн-вс 9:00-19:00),87475001738 (сервис-менеджер),,http://www.luxor.kz,,https://instagram.com/luxor.kz,,https://facebook.com/WellnessClubLuxor,,https://wa.me/77475001738,,,,,,,43.207539,76.969977,https://2gis.com/firm/9429940000793983,branch
Adrenaline,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивное питание,"проспект Жибек Жолы, 66",3 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-22:00; Вс: 09:00-21:00,+05:00,4.0,235,87714473737 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),87273132625 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),,sales@adrenaline.kz,http://www.adrenaline.kz,,https://instagram.com/adrenaline_kz,,https://facebook.com/Adrenaline-Kz-529339027243967,,https://wa.me/77714473737,,,,,,https://youtube.com/UC0A-skQmAzJUO509Vt3cl1A,43.262209,76.949666,https://2gis.com/firm/70000001019179509,branch
IronGym,спортивный клуб,Фитнес-клубы; Тренажёрные залы,"улица Каныша Сатпаева, 30/1",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-22:00; Вт: 06:00-22:00; Ср: 06:00-22:00; Чт: 06:00-22:00; Пт: 06:00-22:00; Сб: 09:00-18:00,+05:00,3.9,11,87023616797,,,,,,,,,,https://wa.me/77023616797,,,,,,,43.235299,76.922423,https://2gis.com/firm/9429940001345485,branch
Balance and Grace Pilates Studio,студия,Фитнес-клубы,"улица Кажымукана, 10а",9 этаж,050059,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-21:00; Сб: 09:00-18:00 (по предварительной записи),+05:00,4.9,26,87760075270,,,,,,https://instagram.com/balance_and_grace_,,,,https://wa.me/77760075270,,,,,,,43.225301,76.95946,https://2gis.com/firm/70000001067070470,branch
Пляж,студия,Фитнес-клубы; Студии загара; Массажист; Услуги по оформлению ресниц / бровей,"улица Карасай батыра, 120а",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 12:00-22:00; Ср: 10:00-22:00; Чт: 12:00-22:00; Пт: 10:00-22:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи),+05:00,4.1,47,87089946220 (администратор),87772002384,,,,,https://instagram.com/home_of_beauty_plyazh,,,,https://wa.me/77089946220,https://wa.me/77772002384,,,,,,43.249189,76.916315,https://2gis.com/firm/70000001019044542,branch
БАНЗАЙ Fitness,сеть фитнес-клубов,Фитнес-клубы; Тренажёрные залы; Велнес-залы; Спортивное питание,"улица Кунаева, 43",3 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 11:00-21:00,+05:00,4.5,210,87272714301,87078000468,,banzai4info@gmail.com,http://banzai.kz,,https://instagram.com/banzai4me,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77078000468,,,,https://t.me/banzai4me,,https://youtube.com/banzai4me,43.262866,76.948232,https://2gis.com/firm/70000001020849567,branch
King of Body,фитнес-клуб,Фитнес-клубы,"улица Бальзака, 8 лит А",цокольный этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-14:00,+05:00,4.5,11,87019500009,,,,,,https://instagram.com/kingofbody_alm,,,,https://wa.me/77019500009,,,,,,,43.224655,76.933667,https://2gis.com/firm/70000001061423402,branch
Level fitness & GYM,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Достык, 105",2 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-21:00,+05:00,3.6,14,87770330730,,,,,,https://instagram.com/levelfitnesskz,,,,https://wa.me/77770330730,,,,,,,43.226123,76.961173,https://2gis.com/firm/70000001034110552,branch
YA.,фитнес-студия,Фитнес-клубы; Центры йоги; Обучение танцам; Спортивные секции,"проспект Абая, 109в",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,90,87000309413 (служба поддержки действующих клиентов ),87000227305 (отдел продаж ),,ya.fitalmaty@gmail.com,http://yafitness.kz,,https://instagram.com/ya.fitstudio,,,,,,,,,,,43.240313,76.90609,https://2gis.com/firm/70000001080215823,branch
Bubblzz,женская фитнес-студия ,Фитнес-клубы; Обучение танцам; Центры йоги,"проспект Достык, 210",2 блок; 4 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-15:00,+05:00,4.7,319,87780030344,,,,,,https://instagram.com/bubblzz_fit,,,,https://wa.me/77010705135,,,,,,,43.229972,76.960763,https://2gis.com/firm/70000001034227977,branch
Brooklyn Fitness Gym,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Обучение танцам; Центры йоги,"микрорайон Керемет, 7 к42",цокольный этаж,050013,Керемет м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-21:00; Вс: 11:00-17:00,+05:00,4.1,104,87073255333,87770210888,,,,,https://instagram.com/brooklyn_fitness_gym,,,,https://wa.me/77073255333,https://wa.me/77770210888,,,,,,43.236183,76.938229,https://2gis.com/firm/9429940001069160,branch
Protest,женская фитнес студия в стиле ночного клуба,Фитнес-клубы; Центры йоги; Обучение танцам; Спортивные секции,"улица Кажымукана, 49",3 этаж,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 09:00-21:00; Ср: 10:00-21:00; Чт: 09:00-21:00; Пт: 10:00-21:00; Сб: 10:00-19:00; Вс: 11:00-19:00,+05:00,4.5,143,87717188642 (единая справочная),87719499005 (отдел продаж),,,http://protest.kz,,https://instagram.com/protest.kz,,,,https://wa.me/77717188642,https://wa.me/77719499005,,,https://t.me/protest_kz,,,43.22598,76.95516,https://2gis.com/firm/70000001053073191,branch
Fightclub.kz,спортивный клуб,Фитнес-клубы; Спортивные секции; Тренажёрные залы,"проспект Достык, 105",3 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-21:00,+05:00,3.9,39,87770330730,,,,,,https://instagram.com/fightclubkz,,,,https://wa.me/77770330730,,,,,,,43.226123,76.961173,https://2gis.com/firm/70000001028266014,branch
БАНЗАЙ IMPULSE,женская фитнес-студия,Фитнес-клубы; Обучение танцам; Центры йоги; Спортивное питание,"улица Толе би, 187 к2",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 14:00-22:00; Ср: 07:00-22:00; Чт: 14:00-22:00; Пт: 07:00-22:00; Сб: 09:00-13:00,+05:00,4.3,81,87273954636,87075002696,,banzai4info@gmail.com,http://banzai.kz/gym/show/banzai_impulse,,https://instagram.com/banzai_impulse,,https://facebook.com/banzai4me,https://vk.com/banzai4me,https://wa.me/77075002696,,,,https://t.me/banzai4me,,https://youtube.com/banzai4me,43.252532,76.89956,https://2gis.com/firm/70000001028912543,branch
Progym,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Карасай батыра, 88Б",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-23:00; Вс: 10:00-22:00,+05:00,,,,,,,,,,,,,,,,,,,,43.249965,76.927088,https://2gis.com/firm/70000001090064893,branch
S89 Fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"улица Радостовца, 69",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00; Вс: 09:00-21:00,+05:00,4.5,195,87056505852,,,,http://s89fitness.kz/radostovca69,,https://instagram.com/s89official,,https://facebook.com/s89official,,https://wa.me/77056505852,,,,,,,43.243729,76.891195,https://2gis.com/firm/70000001067750761,branch
Bodyfitgym,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Спортивное питание; Спортивная одежда / обувь,"7-й микрорайон, 3а",цокольный этаж,050062,7-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 11:00-24:00,+05:00,4.2,166,87475009027,87272497591,87073407829,,,,https://instagram.com/bodyfitgymalmaty,,https://facebook.com/bodyfitgym,,https://wa.me/77475009027,,,,https://t.me/+77073407829,,,43.225765,76.861496,https://2gis.com/firm/70000001022032326,branch
Kangoo Jumps,фитнес-клуб,Фитнес-клубы; Спортивные секции; Батутные центры,"улица Каныша Сатпаева, 33",ProFitness AMG,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-11:00; Вт: 20:00-21:00; Ср: 10:00-11:00; Чт: 20:00-21:00; Пт: 10:00-11:00; Сб: 20:00-21:00,+05:00,5.0,6,87758026221,,,,,,https://instagram.com/kangoo_jumps_almaty,,,,https://wa.me/77758026221,,,,,,,43.236187,76.908827,https://2gis.com/firm/70000001089023557,branch
Adrenaline,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивное питание,"микрорайон Жетысу-2, 69Б",,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-22:00; Вс: 09:00-21:00,+05:00,4.6,49,87714473737 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),87273132625 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),,sales@adrenaline.kz,http://www.adrenaline.kz,,https://instagram.com/adrenaline_kz,,https://facebook.com/Adrenaline-Kz-529339027243967,,https://wa.me/77714473737,,,,,,https://youtube.com/UC0A-skQmAzJUO509Vt3cl1A,43.219257,76.847426,https://2gis.com/firm/70000001084209847,branch
Школа танцев им. Аскарова Айнур,,Фитнес-клубы; Обучение танцам,"улица Жандосова, 58а",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:30-19:30; Ср: 09:30-19:30; Чт: 09:30-19:30; Пт: 09:30-19:30,+05:00,5.0,2,87019073600,,,,,,https://instagram.com/dance_school_askarova,,,,https://wa.me/77019073600,,,,,,,43.230341,76.89633,https://2gis.com/firm/70000001037476765,branch
Royal club,спортивный клуб,Фитнес-клубы; Спортивные секции; Обучение танцам; Тренажёрные залы,"проспект Аль-Фараби, 7 к5а",1 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.0,80,87273565555,,,,http://almaty.royalfitness.kz,,https://instagram.com/royal_clubs_almaty,,https://facebook.com/RoyalClubFitnessSpa,,https://wa.me/77011913588,,,,,,,43.230455,76.947032,https://2gis.com/firm/70000001052199388,branch
Winox Pro,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Центры йоги,"проспект Аль-Фараби, 5/2",Р2 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.1,79,87080906090 (отдел продаж),,,,,,https://instagram.com/winox_pro,,,,https://wa.me/77080906090,,,,,,,43.229529,76.946111,https://2gis.com/firm/70000001077213571,branch
Royal club,спортивный клуб,Фитнес-клубы; Спортивные секции; Обучение танцам; Тренажёрные залы,"Самал-3 микрорайон, 20",,050051,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,3.7,161,87273565555,,,,http://almaty.royalfitness.kz,,https://instagram.com/royal_clubs_almaty,,https://facebook.com/RoyalClubFitnessSpa,,https://wa.me/77011913588,,,,,,,43.228105,76.954485,https://2gis.com/firm/70000001052199435,branch
Invictus Fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Центры йоги; Спортивные секции,"проспект Гагарина, 286",1 этаж,050060,Алмагуль м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.4,380,87470940084,,,,http://invictusfitness.kz/gagarin,,https://instagram.com/invictusfitnesskz,,https://facebook.com/invictusalmaty,,https://wa.me/77470940084,,,,,,https://youtube.com/@invictuskz,43.205156,76.899298,https://2gis.com/firm/70000001022013096,branch
