Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Ozat,частная школа,Школы,"Мамыр-4 микрорайон, 145в",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.3,40,87074941030,87018886257,,,,,https://instagram.com/ozat.primary.school,,,,,,,,,,,43.214753,76.846696,https://2gis.com/firm/70000001077138999,branch
Школа-лицей №146,,Школы,"проспект Гагарина, 311",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,1.9,123,87273021897 (приемная),,,,,,https://instagram.com/almaty_school_lisei_146,,,,,,,,,,,43.202345,76.897554,https://2gis.com/firm/9429940000798781,branch
Общеобразовательная школа №141,,Школы,"микрорайон Жетысу-2, 8в",,050063,Жетысу-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-18:00,+05:00,3.7,61,,,,,,,,,,,,,,,,,,43.224191,76.840764,https://2gis.com/firm/9429940000798777,branch
Leader,школа,Школы,"микрорайон Орбита-4, 25Б",,050043,Орбита-4 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-16:00; Вт: 08:30-16:00; Ср: 08:30-16:00; Чт: 08:30-16:00; Пт: 08:30-16:00,+05:00,4.2,77,87272547099,87272547300,87272547322,,,http://www.leaderschool.kz,,,,,,,,,,,,43.196496,76.877432,https://2gis.com/firm/9429940000797410,branch
Pifagor middle school,частная школа,Школы; Центры раннего развития детей; Центры дистанционного обучения; Помощь в обучении; Языковые школы,"микрорайон Алмас, 244",,050052,Алмас м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,4.9,138,87787693030,,,info@pifagorschool.kz,,http://pifagor.kz,https://instagram.com/pifagorschool.kz,,https://facebook.com/pifagor.kz,https://vk.com/pifagorkz,https://wa.me/77066384727,https://wa.me/77068048284,,,https://t.me/pifagorkz,https://youtube.com/c/Pifagorkzvideos,,43.20782,76.842863,https://2gis.com/firm/70000001035212335,branch
Общеобразовательная школа №125,,Школы,"микрорайон Алмагуль, 42",,050060,Алмагуль м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.7,85,87273964748,87273964771,,,,,https://instagram.com/kguosh_125_,,,,,,,,,,,43.20309,76.90251,https://2gis.com/firm/9429940000798768,branch
Общеобразовательная школа №104,,Школы,"2-й микрорайон, 59",,050062,2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.8,36,87272770582 (дежурная часть),87272760962 (приемная),87272773690 (отдел бухгалтерии),,,,,,,,,,,,,,,43.233775,76.857347,https://2gis.com/firm/9429940000798755,branch
Общеобразовательная школа №58,,Школы,"улица Тургут Озала, 30",,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.9,49,87273739769,,,,,,,,,,,,,,,,,43.254756,76.880859,https://2gis.com/firm/9429940000798817,branch
Общеобразовательная школа №9,,Школы,"12-й микрорайон, 18",,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.2,47,,,,,,http://9.alschool.kz/,https://instagram.com/sch_ool9,,https://facebook.com/kguosh9,,,,,,,https://youtube.com/channel/UCr-KficVI5nOCufWEWjphlw,,43.221592,76.863866,https://2gis.com/firm/9429940000798838,branch
Общеобразовательная школа №128 им. М. Ауезова,,Школы,"улица Жарокова, 18",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,3.3,63,87273751437 (приемная),87273757004,,,,,https://instagram.com/m.auezov_128,,,,,,,,,,,43.245478,76.900065,https://2gis.com/firm/9429940000798770,branch
Общеобразовательная школа №167,,Школы,"улица Тургут Озала, 45",,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.0,27,87273740724 (приемная),87273740723,,,,,,,,,,,,,,,,43.256263,76.879162,https://2gis.com/firm/9429940001156330,branch
Общеобразовательная школа №67,,Школы,"улица Розыбакиева, 31в",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+05:00,4.2,42,87273929409 (приемная),,,,,,,,,,,,,,,,,43.242847,76.888443,https://2gis.com/firm/9429940000798824,branch
Rich School,частная школа,Школы,"улица Чуланова, 42",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-20:00; Вт: 10:00-13:00, 14:00-20:00; Ср: 10:00-13:00, 14:00-20:00; Чт: 10:00-13:00, 14:00-20:00; Пт: 10:00-13:00, 14:00-20:00; Сб: 10:00-13:00, 14:00-20:00; Вс: 10:00-13:00, 14:00-20:00",+05:00,,,87710009969,87083601566,,,,http://richschool.kz,https://instagram.com/richschool_almaty,,,,https://wa.me/77075105466,,,,,,,43.248581,76.827719,https://2gis.com/firm/70000001088918657,branch
Авторская школа Жании Аубакировой,,Школы,"улица Карасай батыра, 140",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-17:30; Вт: 09:00-13:00, 14:00-17:30; Ср: 09:00-13:00, 14:00-17:30; Чт: 09:00-13:00, 14:00-17:30; Пт: 09:00-13:00, 14:00-17:30; Сб: 09:00-13:00, 14:00-17:30",+05:00,4.2,55,87000295577,87273780506,,,,http://school.aubakirova.kz,https://instagram.com/aubakirova.school,,https://facebook.com/school.aubakirova.kz,,,,,,,,,43.248424,76.909356,https://2gis.com/firm/9429940000791445,branch
Общеобразовательная школа №114,,Школы,"улица Коунрадская, 12а",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-15:00,+05:00,3.5,39,87272687117 (приемная),,,,,,,,,,,,,,,,,43.260442,76.878575,https://2gis.com/firm/9429940000798761,branch
Общеобразовательная школа №121,,Школы,"микрорайон Аксай 2, 69а",,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,3.5,85,87272688688 (приемная),87272688680,,,,,,,,,,,,,,,,43.234956,76.835944,https://2gis.com/firm/9429940000798766,branch
Общеобразовательная школа №10,,Школы,"бульвар Бухар жырау, 50Б",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.1,93,87273948335 (приемная),87273948900 (вахта),,,,http://10.alschool.kz,https://instagram.com/school10_almaty,,,,,,,,,,,43.229978,76.912738,https://2gis.com/firm/9429940000798752,branch
Tamos Education,международная школа,Школы; Помощь в обучении; Частные детские сады,"улица Какимбека Салыкова, 140",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,3.9,82,87470949596,,,,,http://tamos-education.kz,https://instagram.com/tamos_education,,https://facebook.com/TamosEducation,,https://wa.me/77002461980,,,,,,,43.168065,76.910293,https://2gis.com/firm/70000001025024593,branch
Школа-гимназия №152,,Школы,"улица Жалайыр, 48",,050058,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+05:00,3.3,27,87272272504 (приемная),,,,,,,,,,,,,,,,,43.300842,76.872786,https://2gis.com/firm/9429940001012942,branch
Бэст,ассоциированная школа ЮНЕСКО,Школы,"улица Мынбаева, 12а",,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.5,35,87272453286,87272453212,87272453368,,,http://best-school.kz,https://instagram.com/shkolabest,,,,,,,,,,,43.236765,76.907795,https://2gis.com/firm/9429940000793916,branch
Магистр,частная школа,Школы,"Коктем-3 микрорайон, 14",,050040,Коктем-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-13:00, 14:00-17:30; Вт: 08:30-13:00, 14:00-17:30; Ср: 08:30-13:00, 14:00-17:30; Чт: 08:30-13:00, 14:00-17:30; Пт: 08:30-13:00, 14:00-17:30",+05:00,3.5,48,87273944994,87273944815,,,,http://www.magistr-school.kz,https://instagram.com/magistr_school_almaty,,,,https://wa.me/77772154783,,,,,,,43.235086,76.916181,https://2gis.com/firm/9429940000797582,branch
Zaman,частная школа,Школы,"улица Кенесары хана, 56/1",,,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.5,74,87471112605,,,,,http://zaman-school.kz,https://instagram.com/zaman_school.kz,,https://facebook.com/zamanmektep,,https://wa.me/77471112605,,,,,,,43.170519,76.868793,https://2gis.com/firm/70000001062984212,branch
Общеобразовательная школа №135,,Школы,"Василия Клочкова улица, 49",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 09:00-13:00,+05:00,3.5,54,87273751190,87273752343,87272694430,,,,,,,,,,,,,,,43.242019,76.900732,https://2gis.com/firm/9429940000798773,branch
Respect School,частная школа,Школы,"улица Аскарова, 4Б",,,Рахат (Наурызбайский район) м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.2,38,,,,,,,https://instagram.com/respect__school,,,,,,,,,,,43.187723,76.865054,https://2gis.com/firm/70000001065580453,branch
Общеобразовательная школа №42,,Школы,"микрорайон Аксай 2, 33",,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.5,130,87272305379 (приёмная),87272305418,87272305420 (бухгалтерия),,,http://42.alschool.kz,https://instagram.com/42_mektep,,,,,,,,,,,43.23727,76.832998,https://2gis.com/firm/9429940000798807,branch
Общеобразовательная школа №155,,Школы,"улица Садвакасова, 29",,050063,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00,+05:00,3.4,43,87272309896 (приемная),87272309994,,,,,,,,,,,,,,,,43.220478,76.8365,https://2gis.com/firm/9429940000798786,branch
Престиж,частная школа,Школы,"бульвар Бухар жырау, 12а",,050021,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30,+05:00,3.0,96,87272937612,87272937613,,,,http://prestige-school.kz,https://instagram.com/nu.prestige.school,,,,,,,,,,,43.233732,76.926052,https://2gis.com/firm/70000001022032240,branch
Общеобразовательная школа №124,,Школы,"Богенбай батыра улица, 260",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.7,77,87273760489 (приемная),,,,,http://124.alschool.kz,https://instagram.com/124_mektep,,,,,,,,,,,43.249256,76.903826,https://2gis.com/firm/9429940000798767,branch
Steam school,частная школа,Школы,"Гибадуллы Мырзагалиева улица, 41а",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-18:00; Вс: 08:30-18:00,+05:00,5.0,4,87014717175,,,,,http://taplink.cc/steam.school_almaty,https://instagram.com/steam.school_almaty,,,,https://wa.me/77014717175,,,,https://t.me/school_steam,,,43.19758,76.861553,https://2gis.com/firm/70000001064066111,branch
Общеобразовательная школа №96,,Школы,"улица Тлендиева, 35",3 этаж,050005,Тастак-2 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.9,64,87273740390,87273740391,87273740389 (приемная),,,http://eotinish.kz/ru,https://instagram.com/schooll96,,,,,,,,,,,43.253703,76.870222,https://2gis.com/firm/9429940000798842,branch
Назарбаев интеллектуальная школа,школа физико-математического направления,Школы,"улица Жамакаева, 145",,050040,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-12:00, 14:00-17:00; Вт: 08:00-12:00, 14:00-17:00; Ср: 08:00-12:00, 14:00-17:00; Чт: 08:00-12:00, 14:00-17:00; Пт: 08:00-12:00, 14:00-17:00",+05:00,3.5,128,87273310104,,,,,http://fmalm.nis.edu.kz,https://instagram.com/nis_pm_almaty,,https://facebook.com/fmalm.nis.edu.kz,,,,,,https://t.me/nisphm,https://youtube.com/channel/UC0FhZfxcAlsWdvU-Bgzgi8A,,43.214464,76.951715,https://2gis.com/firm/9429940001622361,branch
НОЦ Innovation,организация по проведению международных олимпиад и конкурсов,Школы; Помощь в обучении; Центры дистанционного обучения,"улица Каныша Сатпаева, 16а",5 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,5.0,1,87754089100,,,,,http://innov.kz,https://instagram.com/olympiad_kz,,https://facebook.com/olympiadkz,https://vk.com/olympiad_kz,https://wa.me/77754089100,,,,,,,43.237652,76.940264,https://2gis.com/firm/70000001021351386,branch
Профильная Школа КАЗНУ,,Школы,"улица Масанчи, 39",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.8,43,87082201097,87784121315,,,,http://www.kaznu.kz/ru/16594/page/,https://instagram.com/shkola.kaznu,,https://facebook.com/profile.php?id=100069028501475,,,,,,,,,43.251965,76.929017,https://2gis.com/firm/70000001052442207,branch
Достар,международная школа-лицей,Школы,"улица Амангельды, 1",,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,3.2,20,87272795776,87272795674,,,,http://dostar-school.kz,https://instagram.com/dostar.school,,https://facebook.com/dostarschool,,,,,,,https://youtube.com/@dostar-school,,43.262177,76.929316,https://2gis.com/firm/9429940000951172,branch
Общеобразовательная школа №64,,Школы,"улица Оренбургская, 17",,050007,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,3.5,49,,,,,,,,,,,,,,,,,,43.27261,76.982083,https://2gis.com/firm/9429940000798821,branch
Общеобразовательная школа №75 им. Ш. Кудайбердыулы,,Школы,"улица Туркебаева, 176",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.6,95,87273744894 (приемная),87272683287,87272683252,,,http://75.alschool.kz,https://instagram.com/school75__,,https://facebook.com/almatyschool75,,,,,,,,,43.24305,76.880471,https://2gis.com/firm/9429940000798829,branch
Baiterek school,,Школы,"улица Толе би, 109",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.0,119,87473393149,,,,,http://baiterekschool.kz,https://instagram.com/baiterek.school,,,,https://wa.me/77473393149,,,,,,,43.253795,76.923078,https://2gis.com/firm/9429940000792223,branch
Qalam School,частная школа,Школы,"микрорайон Аксай-5, 25",,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+05:00,4.7,14,87066536060,,,,,http://qalamschool.kz,https://instagram.com/qalam.highschool,,,,https://wa.me/77066536060,,,,,,,43.230439,76.832239,https://2gis.com/firm/70000001083288355,branch
Qalam School,частная казахская начальная школа,Школы,"микрорайон Аксай-5, 25 к6",1 этаж,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,4.0,31,,,,,,http://qalamschool.kz,https://instagram.com/qalamschool.almaty,,,,,,,,,,,43.231846,76.831159,https://2gis.com/firm/70000001063616023,branch
Zerde,частная школа-гимназия,Школы,"улица Маркова, 47Б",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:15-16:45; Вт: 08:15-16:45; Ср: 08:15-16:45; Чт: 08:15-16:45; Пт: 08:15-16:45,+05:00,4.0,22,87024088783,,,,,http://zerde-school.kz,https://instagram.com/zerde_gymnasium,,,,https://wa.me/77760059987,,,,https://t.me/+77760059987,,,43.228256,76.931491,https://2gis.com/firm/9429940000791249,branch
Prizma School,частная школа,Школы,"улица Сарайшык, 26",1 этаж,,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-17:00; Вт: 08:00-13:00, 14:00-17:00; Ср: 08:00-13:00, 14:00-17:00; Чт: 08:00-13:00, 14:00-17:00; Пт: 08:00-13:00, 14:00-17:00",+05:00,4.9,34,87000272323,,,,,,https://instagram.com/prizma.almaty,,,,https://wa.me/77000272323,,,,https://t.me/prizmaalmaty,,,43.245581,76.826225,https://2gis.com/firm/70000001070247922,branch
Общеобразовательная школа №97,,Школы,"микрорайон 1-й, 76а",,050062,1-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.1,45,87272761593 (приемная),87272760251,,,,,,,,,,,,,,,,43.231339,76.850422,https://2gis.com/firm/9429940000798843,branch
Общеобразовательная школа №183,,Школы,"улица Жангир хана, 73",,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-13:00,+05:00,3.3,11,87273867215,87273809385,,,,,https://instagram.com/183school_almaty,,,,,,,,,,,43.188246,76.925751,https://2gis.com/firm/9429940001045321,branch
Nurorda Almaty,частная школа,Школы,"улица Чуланова, 133",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.6,59,87004242420,,,,,http://nurordaalmaty.kz,https://instagram.com/nurorda.almaty,,,,https://wa.me/77004242420,,,,,https://youtube.com/@nurorda-almaty/about,,43.251743,76.826299,https://2gis.com/firm/70000001074382206,branch
Haileybury Almaty British School,частная Британская школа,Школы,"проспект Аль-Фараби, 112",,050044,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00,+05:00,3.5,38,87023550100,87273550100,,,,http://www.haileybury.kz,https://instagram.com/haileybury_almaty,https://twitter.com/haileyburykz,https://facebook.com/haileyburyalmaty.kz,,,,,,https://t.me/haileybury_almaty,https://youtube.com/channel/UCi4EwScq8ddaYz7guk1K50g,,43.217189,76.933089,https://2gis.com/firm/9429940000787579,branch
Международная школа г. Алматы,,Школы,"улица Каныша Сатпаева, 40Б",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-16:30; Вт: 08:30-16:30; Ср: 08:30-16:30; Чт: 08:30-16:30; Пт: 08:30-16:30,+05:00,4.2,57,87272744808 (приемная директора),87272747525,,,,http://isoa.kz,https://instagram.com/isoa.kz,,,,https://wa.me/77773701103,,,,,,,43.234239,76.902631,https://2gis.com/firm/9429940000797907,branch
Кемел,частная физико-математическая школа,Школы,"улица Радостовца, 215",1-4 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,2.9,54,87083146454 (менеджер),,,,,,https://instagram.com/kemel.school.kz,,,,https://wa.me/77083146454,,,,,,,43.222934,76.893986,https://2gis.com/firm/70000001052544974,branch
Joo High School,,Школы; Помощь в обучении,"переулок Дружбы, 14Б",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,3.8,69,87074992541,,,,,http://joohs.kz,https://instagram.com/joo.almaty,,,,https://wa.me/77074992541,https://wa.me/77711230702,,,,https://youtube.com/c/JooKz,,43.201861,76.897083,https://2gis.com/firm/70000001057657673,branch
Средняя школа им. Л.Н. Толстого,,Школы,"улица Рахметова, 40",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.5,37,87273883040,87273883025,,,,,,,,,,,,,,,,43.241954,76.761361,https://2gis.com/firm/70000001019950963,branch
Средняя школа им. М. Маметовой,,Школы,"улица Наурызбай батыра, 108",,040921,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-18:00,+05:00,3.1,21,,,,,,,,,,,,,,,,,,43.259681,76.773325,https://2gis.com/firm/9429940001589659,branch
Общеобразовательная школа №187,,Школы,"улица Санжара Жандосова, 2",,050067,Таусамалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 08:00-14:00,+05:00,3.6,49,87272970779,,,,,,,,,,,,,,,,,43.186387,76.829837,https://2gis.com/firm/9429940001013362,branch
Средняя школа №186 им. С. Копбаева,,Школы,"улица Байсултанова, 15",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,3.5,48,87273604545 (единая справочная: пн-сб 8:00-18:00),,,,,,,,,,,,,,,,,43.19093,76.801965,https://2gis.com/firm/70000001018378353,branch
Общеобразовательная школа №77,,Школы,"улица Жукова, 140",,050059,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.2,31,87272647663 (приемная),,,,,,,,,,,,,,,,,43.218241,76.949359,https://2gis.com/firm/9429940000798831,branch
Общеобразовательная школа №91,,Школы,"улица Докучаева, 31а",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-17:00,+05:00,3.3,30,87272477898 (приемная),,,,,,,,,,,,,,,,,43.255726,76.85205,https://2gis.com/firm/9429940000798839,branch
Cosmo International School,международная школа,Школы,"улица Карасай батыра, 204/1",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.6,28,87712881136,87786451350,,,,,https://instagram.com/cosmo_international_school,,,,https://wa.me/77786451350,,,,,,,43.24725,76.891752,https://2gis.com/firm/70000001078759665,branch
Joo High School,,Школы; Помощь в обучении,"улица Байтерекова, 3",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,3.9,60,87473845582,,,,,http://joohs.kz,https://instagram.com/joo.alatau,,,,https://wa.me/77711230702,https://wa.me/77473845582,,,,https://youtube.com/c/JooKz,,43.255015,76.823329,https://2gis.com/firm/70000001077051866,branch
