Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт,Instagram,Facebook,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Городская больница скорой неотложной помощи,отделение физиотерапии,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920665,branch
Городская больница скорой неотложной помощи,операционный блок,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920719,branch
Центральная городская клиническая больница,отделение нейрохирургии,Больницы,"улица Жандосова, 6",2 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,5.0,138,87072358676,87015453355,,,,,,,,,,,43.235021,76.911255,https://2gis.com/firm/70000001069033922,branch
Детская городская клиническая инфекционная больница,приемное отделение,Больницы,"улица Байзакова, 299а",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,6,87273948824,,,,http://dgkib.kz,,,,,,,,43.232535,76.912593,https://2gis.com/firm/70000001039760813,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,кардиологическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,,,87272619718,87272619719,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478714,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,соматическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,87272619798,87057103244,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478866,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,гастроэнтерологическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,3.5,2,87272619714,,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478631,branch
Городская больница скорой неотложной помощи,отделение лучевой диагностики,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920631,branch
Городская больница скорой неотложной помощи,отделение терапии,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920579,branch
Городская больница скорой неотложной помощи,консультативно-диагностическое отделение ,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920694,branch
Городская больница скорой неотложной помощи,отделение неврологии,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920596,branch
Городской кардиологический центр,рентгенологическое отделение,Больницы,"улица Толе би, 93",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительной записи),+05:00,,,87272250042 (доп.201),87272250042 (регистратура),87272797791 (регистратура ),,http://kardio-almaty.kz,,,https://wa.me/77085820717,,,,,43.253996,76.92809,https://2gis.com/firm/70000001029465706,branch
Городской кардиологический центр,отделение хронической кардиологической недостаточности,Больницы,"улица Толе би, 93",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительной записи),+05:00,1.5,2,87002444206 (регистратура),87272250042 (регистратура),87272797791 (регистратура ),,http://kardio-almaty.kz,,,https://wa.me/77085820717,,,,,43.253996,76.92809,https://2gis.com/firm/70000001029465077,branch
Центр детской неотложной медицинской помощи,приемное отделение,Больницы,"улица Манаса, 40",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,20,87272744543,,,,,,,,,,,,43.231966,76.910775,https://2gis.com/firm/70000001029478222,branch
Городская больница скорой неотложной помощи,отделение нейрохирургии,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920419,branch
Городская больница скорой неотложной помощи,отделение функциональной диагностики,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920639,branch
Научный центр урологии им. академика Б.У. Джарбусынова,платное отделение,Больницы; Уролог; Терапевт; Невролог; Гинеколог; Медицинские анализы,"улица Басенова, 2в",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00,+05:00,4.6,14,87272221515 (приемная),87272221616,87051345555,,http://ncu.kz,https://instagram.com/ncu.kz,https://facebook.com/ncu.kz,https://wa.me/77051345555,,viber://chat/?number=77051345555,,,43.220684,76.901164,https://2gis.com/firm/70000001089126760,branch
Городская клиническая больница №5,отделение реабилиталогии и восстановительного лечения,Больницы,"проспект Достык, 220/1",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,5.0,1,87272647762,87272647554 (приемная гл. врача),87272647380 (лаборатория),,http://gkb5.kz,,,,,,,,43.22756,76.962623,https://2gis.com/firm/70000001083738881,branch
Городской кардиологический центр,кардиологическое реабилитационное отделение,Больницы,"улица Толе би, 93",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительной записи),+05:00,,,87272250422,87272250042 (регистратура),87272797791 (регистратура ),,http://kardio-almaty.kz,,,https://wa.me/77085820717,,,,,43.253996,76.92809,https://2gis.com/firm/70000001029465263,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,эндоскопическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:10; Вт: 08:00-16:10; Ср: 08:00-16:10; Чт: 08:00-16:10; Пт: 08:00-16:10,+05:00,,,87272619728,,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029479009,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,отделение экстракорпоральной гемокоррекции,Больницы,"улица Панфилова, 139",5 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,,,87272619777,,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478788,branch
Детская городская клиническая инфекционная больница,отделение респираторных инфекций и заболеваний дыхательной системы,Больницы,"улица Байзакова, 299а","2, 3 этаж",050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,20,87273948826 (отделение №5),87273948811 (отделение №11),,,http://dgkib.kz,,,,,,,,43.232418,76.913313,https://2gis.com/firm/70000001039766078,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,кардиохирургическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,,,87273384310 (call-центр),,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478737,branch
Национальный госпиталь медицинского центра Управления делами Президента РК,офтальмологическое отделение,Больницы,"улица Панфилова, 139",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,,,87272619784,,,,,https://instagram.com/sovminka,https://facebook.com/sovminka,,,,,,43.247187,76.944594,https://2gis.com/firm/70000001029478816,branch
Детская городская клиническая инфекционная больница,отделение для детей до 3-х месяцев,Больницы,"улица Байзакова, 299а","1, 2 этаж",050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.2,8,87273948810 (отделение №7),87273948808 (отделение №9),,,http://dgkib.kz,,,,,,,,43.232744,76.911996,https://2gis.com/firm/70000001039767774,branch
Городская клиническая больница №5,отделение детской челюстно-лицевой хирургии №2,Больницы,"проспект Достык, 220/1",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.0,1,87272647762,87272647554 (приемная гл. врача),87272647380 (лаборатория),,http://gkb5.kz,,,,,,,,43.22756,76.962623,https://2gis.com/firm/70000001088955324,branch
Центр детской неотложной медицинской помощи,отделение нейрохирургии,Больницы,"улица Манаса, 40",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,4,87272748131,,,,,,,,,,,,43.231966,76.910775,https://2gis.com/firm/70000001054583057,branch
Центр детской неотложной медицинской помощи,отделение микрохирургии глаза,Больницы,"улица Манаса, 40",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.8,13,87272745700,,,,,,,,,,,,43.231966,76.910775,https://2gis.com/firm/70000001029478391,branch
Центральная городская клиническая больница,отделение урологии,Больницы,"улица Жандосова, 6",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,,,,,,,,,,,,,,,43.235021,76.911255,https://2gis.com/firm/70000001089505406,branch
Детская городская клиническая инфекционная больница,клинико-диагностическое отделение,Больницы,"улица Байзакова, 299а",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,,,,,http://dgkib.kz,,,,,,,,43.232535,76.912593,https://2gis.com/firm/70000001039766834,branch
"Научный центр акушерства, гинекологии и перинатологии",клиника,Больницы; Медицинская диагностика,"проспект Достык, 125",,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00; Сб: 08:30-17:00; Вс: 08:30-17:00,+05:00,5.0,3,87273004571 (регистратура),87273004599 (единая справочная: пн-вс 9:00-17:00),,,,https://instagram.com/ncagip_kz,https://facebook.com/ncagip.kz,https://wa.me/77057542479,,,,,43.214758,76.964229,https://2gis.com/firm/70000001089221021,branch
Городской кардиологический центр,4-я кардиология,Больницы,"улица Толе би, 93",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительной записи),+05:00,5.0,1,87002444206 (регистратура),87272250042 (регистратура),87272797791 (регистратура ),,http://kardio-almaty.kz,,,https://wa.me/77085820717,,,,,43.253996,76.92809,https://2gis.com/firm/70000001029465186,branch
Детская городская клиническая инфекционная больница,,Больницы,"Ташкентский тракт, 541",,,Теректи м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00; Сб: 08:00-15:00",+05:00,3.8,391,,,,,http://dgkib.kz,,,,,,,,43.233814,76.786857,https://2gis.com/firm/70000001047204547,branch
Городская больница скорой неотложной помощи,отделение травматологии и ортопедии,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920446,branch
Городской кардиологический центр,отделение эндоскопии и УЗИ,Больницы,"улица Толе би, 93",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительной записи),+05:00,4.0,1,87002444206 (регистратура),87272250042 (регистратура),87272797791 (регистратура ),,http://kardio-almaty.kz,,,https://wa.me/77085820717,,,,,43.253996,76.92809,https://2gis.com/firm/70000001029465591,branch
Городская клиническая инфекционная больница им.И.Жекеновой,,Больницы,"улица Дегдар, 10/2",,050030,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.2,656,87273382299 (единый call-центр),,,,http://www.gkib.kz,,,,,,,,43.394091,76.987083,https://2gis.com/firm/70000001047416617,branch
Алматинская многопрофильная клиническая больница,приемный покой,Больницы,"улица Демченко, 83",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,3,87272394920,,,,http://amkb.kz,https://instagram.com/almobl_amkb,https://facebook.com/amkb.pr,https://wa.me/77078069496,,,,,43.283256,76.989869,https://2gis.com/firm/70000001088941268,branch
Городская больница скорой неотложной помощи,платное отделение,Больницы; Нейрохирург; Гинеколог; Хирург; Проктолог; Терапевт; Кардиолог; Невролог; Гастроэнтеролог; Уролог; Травматолог-ортопед; Ангиохирург; Эндокринолог,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87081811528 (справочная: пн-пт 8:00-17:00),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/gbsnp_almaty,https://facebook.com/bsnp.kz,https://wa.me/77081811528,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088945683,branch
Алматинская многопрофильная клиническая больница,хирургическое отделение,Больницы,"улица Демченко, 83",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,,,87272394920,,,,http://amkb.kz,https://instagram.com/almobl_amkb,https://facebook.com/amkb.pr,https://wa.me/77078069496,,,,,43.283256,76.989869,https://2gis.com/firm/70000001088775279,branch
Городская больница скорой неотложной помощи,инсультный центр,Больницы,"улица Казыбек би, 96",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272923101 (приемная),87272924241 (приемная гл. врача),87273170169,,http://gbsnp.kz,https://instagram.com/almaty_qjskka,https://facebook.com/bsnp.kz,,,,,,43.25534,76.929167,https://2gis.com/firm/70000001088920614,branch
Городская клиническая больница №5,детское ЛОР отделение,Больницы,"проспект Достык, 220/1",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272647762,87272647554 (приемная гл. врача),87272647380 (лаборатория),,http://gkb5.kz,,,,,,,,43.22756,76.962623,https://2gis.com/firm/70000001088955233,branch
Детская клиническая инфекционная больница,,Больницы,"улица Бауыржана Момышулы, 1/55 к1",,,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.6,173,,,,,http://www.gkib.kz,,,,,,,,43.299823,76.817502,https://2gis.com/firm/70000001043616281,branch
Cardios,кардиологический центр,Больницы; Кардиолог; Медицинская диагностика,"Беремжанова улица, 1а",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (по предварительной записи: пн-сб),+05:00,4.6,131,87006757951,,,cardiosalmaty@gmail.com,http://cardios.kz,https://instagram.com/cardios.kz,https://facebook.com/Cardios-475584212880167/notifications,https://wa.me/77006757951,,,,,43.201013,76.847126,https://2gis.com/firm/70000001054701668,branch
Городская клиническая больница №1,,Больницы,"улица Ашимова, 2",,050006,Калкаман м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-17:00; Вт: 08:00-13:00, 14:00-17:00; Ср: 08:00-13:00, 14:00-17:00; Чт: 08:00-13:00, 14:00-17:00; Пт: 08:00-13:00, 14:00-17:00",+05:00,4.0,240,87272709040 (приемная),87272708733 (единая справочная: пн-пт),87272708734 (единая справочная: пн-пт),,http://pervaya.kz,https://instagram.com/bolnica_1,,,,,,,43.229474,76.801547,https://2gis.com/firm/9429940000794521,branch
Областная детская клиническая больница,ГУ УЗ Алматинской области,Больницы,"улица 10 лет Независимости, 35",,040700,Куат м-н,,,Илийский район,Алматинская область,Казахстан,"Пн: 08:30-13:00, 14:00-17:30; Вт: 08:30-13:00, 14:00-17:30; Ср: 08:30-13:00, 14:00-17:30; Чт: 08:30-13:00, 14:00-17:30; Пт: 08:30-13:00, 14:00-17:30",+05:00,2.1,130,87275220288 (регистратура),87272517483,87084571414 (регистратура),,,,https://facebook.com/ardkb.kz,https://wa.me/77084571313,,,,,43.416814,77.029219,https://2gis.com/firm/70000001018883133,branch
Аксай,Республиканская детская клиническая больница,Больницы,"улица Таутаган, 2",,,Тастыбулак м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,3.0,104,87273721030 (регистратура),87273721091 (приемный покой),87273721360,,,,,https://wa.me/77711402880,,,,,43.180495,76.81397,https://2gis.com/firm/9429940001263906,branch
Городская клиническая больница №5,второе ЛОР отделение,Больницы,"проспект Достык, 220/1",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,87272647292,87272647554 (приемная гл. врача),87272647380 (лаборатория),,http://gkb5.kz,,,,,,,,43.22756,76.962623,https://2gis.com/firm/70000001088955196,branch
Городская клиническая больница №4,приемное отделение,Больницы,"улица Папанина, 220",,050054,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00,+05:00,5.0,1,87273003703,"87086516201 (доп.02, служба поддержки пациентов)",,,http://gkb4-almaty.kz/,https://instagram.com/gkb_4_almaty,https://facebook.com/klinika4,https://wa.me/77086516202,,,,,43.319085,76.962666,https://2gis.com/firm/70000001088951454,branch
Городская клиническая больница №1,администрация,Больницы,"микрорайон Калкаман, 2а",,050006,Калкаман м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-17:00; Вт: 08:00-13:00, 14:00-17:00; Ср: 08:00-13:00, 14:00-17:00; Чт: 08:00-13:00, 14:00-17:00; Пт: 08:00-13:00, 14:00-17:00",+05:00,3.7,39,87273122466 (единая справочная: пн-вс),87272708733 (единая справочная: пн-пт),87272708734 (единая справочная: пн-пт),,,,,,,,,,43.228941,76.802356,https://2gis.com/firm/9429940001407731,branch
Городская клиническая больница №5,диагностическое отделение,Больницы,"проспект Достык, 220/1",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,,,87272647762,87272647554 (приемная гл. врача),87272647380 (лаборатория),,http://gkb5.kz,,,,,,,,43.22756,76.962623,https://2gis.com/firm/70000001088954728,branch
Илийская центральная районная больница,,Больницы,"улица Титова, 30",,040700,,,,Илийский район,Алматинская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-14:00,+05:00,3.4,470,87272517033 (приемная),87273880210 (бухгалтерия),87275220236 (регистратура),,,,,,,,,,43.425679,77.02159,https://2gis.com/firm/9429940000970954,branch
Сункар,медицинские центры,Больницы; Многопрофильные медицинские центры; Медицинские анализы; Медицинская диагностика; Детские врачи; Кардиолог; Ведение беременности; Процедурный кабинет; Невролог; Терапевт; Уролог; Гинеколог; ЛОР (отоларинголог); Эндокринолог; Хирург; Маммолог; Офтальмолог; Ревматолог; Аллерголог / иммунолог; Гастроэнтеролог; Нефролог; Онколог,"шоссе Северное Кольцо, 99/4",,050014,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,1.0,7,87712143000,87018795004 (единая справочная: пн-вс 8:00-20:00),87018795007 (единая справочная: пн-вс 8:00-20:00),,http://www.densaulyk.kz,https://instagram.com/suncar.kz,https://facebook.com/suncarkz,https://wa.me/77012777777,,,,https://youtube.com/@SUNCARTV,43.326951,76.90946,https://2gis.com/firm/70000001080573640,branch
