Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,Широта,Долгота,2GIS URL,Тип
Городская поликлиника №29,платное отделение,Взрослые поликлиники; Терапевт; Гинеколог; Хирург; ЛОР (отоларинголог); Кардиолог; Невролог; Офтальмолог; Уролог; Травматолог-ортопед; Маммолог; Медицинские анализы; Медицинская диагностика,"микрорайон Зердели, 371/3",,050038,Зерделі м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00; Вс: 08:00-16:00,+05:00,,,87272212911 (горячая линия: пн-пт 8:00-20:00; сб 8:00-16:00),,,,,,,,,,43.281337,76.824826,https://2gis.com/firm/70000001089088848,branch
Городская поликлиника №28,,Взрослые поликлиники; Детские поликлиники,"Жас Канат микрорайон, 54/2",,050054,Жас Канат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00 (дежурный врач: сб 9:00-14:00),+05:00,2.1,344,87272484625 (регистратура),87273410153,87273410154 (администрация),,,https://instagram.com/pmsp_zhaskanat,,,,,43.319424,76.98154,https://2gis.com/firm/70000001021262784,branch
Городская поликлиника №21,,Взрослые поликлиники; Детские поликлиники,"микрорайон Кокжиек, 66",,050028,Кокжиек м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 09:00-16:00; Вс: 09:00-16:00,+05:00,2.0,264,87273842858,,,,,,,,,,43.356238,76.924004,https://2gis.com/firm/9429940001033195,branch
Городская поликлиника №1,платное отделение,Взрослые поликлиники; Гинеколог; Дерматолог; Невролог; ЛОР (отоларинголог); Офтальмолог; Терапевт; Физиотерапевт; Хирург; Маммолог; Гастроэнтеролог; Эндокринолог; Уролог; Кардиолог,"улица Гоголя, 53",,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-14:00,+05:00,,,87273102397,87273102376,,http://1gp.kz,,,,,,,43.260708,76.952337,https://2gis.com/firm/70000001089053513,branch
Городская поликлиника №4,платное отделение для взрослых,Взрослые поликлиники; Медицинская диагностика; Терапевт; Маммолог; Психолог; Гастроэнтеролог; Дерматолог; Кардиолог; Невролог; Онколог; Травматолог-ортопед; ЛОР (отоларинголог); Офтальмолог,"улица Торайгырова, 12а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00,+05:00,,,87273100004,,,http://4gp.kz,http://jivo.chat/H7UbxAj9W2,,,,,,43.201802,76.8767,https://2gis.com/firm/70000001089092794,branch
Центральная военная поликлиника МО РК,,Взрослые поликлиники,"улица 13-й Военный городок, 46Б",1 этаж,050030,13-й Военный Городок м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,2.5,4,87272901584 (регистратура),,,,,,,,,,43.378065,76.987705,https://2gis.com/firm/9429940000794126,branch
Городская поликлиника №32,платное отделение для взрослых,Взрослые поликлиники; Хирург; Маммолог; ЛОР (отоларинголог); Офтальмолог; Невролог; Эндокринолог; Физиотерапевт; Уролог,"улица Монтажная, 33",,050054,Маяк м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00,+05:00,,,87273861710,87273862003 (единая справочная),,,,https://instagram.com/gp32almaty,https://facebook.com/gp32almaty.kz,,,,43.336396,76.98298,https://2gis.com/firm/70000001089092290,branch
Центральная Районная Поликлиника,,Взрослые поликлиники,"улица Жангозина, 14а",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00",+05:00,1.0,3,87277122922,87273001498,,,,,,,,,43.209932,76.620207,https://2gis.com/firm/70000001071259512,branch
Интермедикал,медицинский центр,Взрослые поликлиники; Медицинская диагностика; Ангиохирург; Гинеколог; Детские врачи; Кардиолог; Маммолог; Офтальмолог; Терапевт; Травматолог-ортопед; Уролог; Физиотерапевт; Хирург,"улица Рыскулова, 224а",,,Спутник ж/м,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,44,87718085858,,,,,https://instagram.com/intermedical_talgar,,,https://wa.me/77718085858,,43.324933,77.249119,https://2gis.com/firm/70000001084273888,branch
Городская поликлиника №20,управление общественного здоровья г. Алматы,Взрослые поликлиники; Детские поликлиники,"улица Коныртау, 1а",,050039,Нуршашкан м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-13:00; Вт: 08:00-13:00; Ср: 08:00-13:00; Чт: 08:00-13:00; Пт: 08:00-13:00; Сб: 08:00-13:00; Вс: 08:00-13:00,+05:00,1.8,5,87272327211,,,http://gp20almaty.kz,,https://instagram.com/qe20almaty,https://facebook.com/qe20almaty,,,,43.332681,77.013089,https://2gis.com/firm/70000001023455221,branch
Алматинская многопрофильная клиническая больница,поликлиника,Взрослые поликлиники,"улица Демченко, 83",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,,,87272394920,,,http://amkb.kz,,https://instagram.com/almobl_amkb,https://facebook.com/amkb.pr,,https://wa.me/77078069496,,43.283477,76.990415,https://2gis.com/firm/70000001088945457,branch
Городская поликлиника №20,платное отделение для взрослых,Взрослые поликлиники; Терапевт; Невролог; ЛОР (отоларинголог); Гинеколог; Хирург; Уролог; Кардиолог; Офтальмолог; Эндокринолог,"микрорайон Жулдыз-1, 5в",,050049,Жулдыз-1 м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-13:00; Вт: 08:00-13:00; Ср: 08:00-13:00; Чт: 08:00-13:00; Пт: 08:00-13:00; Сб: 08:00-13:00; Вс: 08:00-13:00,+05:00,,,87273100020 (горячая линия: пн-пт 8:00-20:00; сб 9:00-16:00),,,http://gp20almaty.kz,,https://instagram.com/qe20almaty,https://facebook.com/qe20almaty,,,,43.364429,76.992561,https://2gis.com/firm/70000001089092611,branch
Городская поликлиника №20,управление общественного здоровья г. Алматы,Взрослые поликлиники; Детские поликлиники,"улица 13-й Военный городок, 54Б",,050030,13-й Военный Городок м-н,Турксибский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00 (дежурный врач: сб, вс)",+05:00,1.7,6,87273100020 (горячая линия: пн-пт 8:00-20:00; сб 9:00-16:00),,,http://gp20almaty.kz,,https://instagram.com/qe20almaty,https://facebook.com/qe20almaty,,,,43.376513,76.989161,https://2gis.com/firm/70000001045706988,branch
Городская поликлиника №20,участок №11,Взрослые поликлиники; Детские поликлиники,"улица Шортанбай жырау, 12",,050039,Альмерек м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-14:00; Вт: 09:00-14:00; Ср: 09:00-14:00; Чт: 09:00-14:00; Пт: 09:00-14:00; Сб: 09:00-16:00; Вс: 09:00-16:00 (дежурный врач: сб 9:00-14:00),+05:00,4.3,3,87272344916,,,http://gp20almaty.kz,,https://instagram.com/qe20almaty,https://facebook.com/qe20almaty,,,,43.374723,77.006347,https://2gis.com/firm/70000001027948421,branch
Алматинская многопрофильная клиническая больница,платное отделение,Взрослые поликлиники; Уролог; Офтальмолог; ЛОР (отоларинголог); Гинеколог; Невролог; Гастроэнтеролог; Кардиолог; Эндокринолог,"улица Демченко, 83",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,,,87272394920,,,,,,,,,,43.283477,76.990415,https://2gis.com/firm/70000001089053738,branch
Жамбылская центральная районная поликлиника,,Взрослые поликлиники,"улица Карасай батыра, 47",,,,,,Жамбылский район,Алматинская область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-12:00,+05:00,1.0,8,87277079922,,,,,https://instagram.com/jambylskaya_crb,https://facebook.com/profile.php?id=100026098341288,,,,43.237127,76.30107,https://2gis.com/firm/70000001055944851,branch
Бакай,поликлиника,Взрослые поликлиники,"улица Абая, 332д",,,,,Есик,Енбекшиказахский район,Алматинская область,Казахстан,"Пн: 08:30-13:00, 14:00-17:00; Вт: 08:30-13:00, 14:00-17:00; Ср: 08:30-13:00, 14:00-17:00; Чт: 08:30-13:00, 14:00-17:00; Пт: 08:30-13:00, 14:00-17:00; Сб: 09:00-12:00",+05:00,,,87005540264,,,,,,,,,,43.375348,77.448226,https://2gis.com/firm/70000001089690527,branch
Городская поликлиника №2,,Взрослые поликлиники,"улица Гаухар аны, 87в",,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,2.0,1,87282247782 (взрослая регистратура ),87282243244,87282240803,http://gorpol2-tk.kz/,,,,,,,45.020802,78.373543,https://2gis.com/firm/70000001054903265,branch
Шипагер,медицинская клиника,Взрослые поликлиники; Гинеколог; Массажист; Терапевт; Невролог; Уролог; Проктолог; Офтальмолог; ЛОР (отоларинголог); Маммолог; Процедурный кабинет; Медицинские комиссии,"улица Каблиса Жырау, 66",,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00; Сб: 08:00-12:00,+05:00,5.0,1,87282245431,,,,,https://instagram.com/shipager_tdk,,,,,45.012022,78.386653,https://2gis.com/firm/70000001080618524,branch
Поликлиника МВД,,Взрослые поликлиники,"улица Амангельды, 3",,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,1.0,1,,,,,,,,,,,45.012866,78.386457,https://2gis.com/firm/70000001080355912,branch
Городская поликлиника №1,,Взрослые поликлиники,"улица Кабанбай батыра, 66",,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00 (дежурный врач: сб),+05:00,1.0,1,87282243970,87282242318,87282240480 (служба поддержки пациентов),http://taldpol.kz/ru/,,https://instagram.com/gor.pol_tdk,,,,,45.020304,78.372472,https://2gis.com/firm/70000001089414113,branch
Зире,клиника,Взрослые поликлиники; Детские поликлиники,"улица Ескелди би, 1",,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87282329097,,,,,,,,,,45.020616,78.39393,https://2gis.com/firm/70000001079664334,branch
Городская поликлиника,,Взрослые поликлиники,"улица Ауэзова, 35",,,,,Текели,Текели городская администрация,Жетысу область,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00,+05:00,4.5,2,87283549063,87282411212,,,,,,,,,44.861363,78.769833,https://2gis.com/firm/70000001089266665,branch
