Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
i bala,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 18",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.8,72,87073197832 (единая справочная),87273800096 (единая справочная),,,,,,https://instagram.com/detskii_sad_ibala_,,,https://wa.me/77073197832,,,,,,,,43.215402,76.842323,https://2gis.com/firm/70000001023963891,branch
Lion Garden,частный детский сад,Частные детские сады,"микрорайон Алмас, 57а",,050052,Алмас м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.9,13,87784100007,,,,,,,https://instagram.com/lion_garden_2024,,,https://wa.me/77784100007,,,,,,,,43.207766,76.838757,https://2gis.com/firm/70000001080662478,branch
Bolashaq,частный детский сад,Частные детские сады; Центры раннего развития детей,"улица Пролетарская, 15",,050052,Шабыт м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,5.0,33,87472555837,,,,,,,https://instagram.com/sad_bolashaq,,,,,,,,,,,43.203777,76.844283,https://2gis.com/firm/70000001068620645,branch
Ертөстік,частный детский сад,Частные детские сады,"улица Доспановой, 26",,050071,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.3,16,,,,,,,,,,,,,,,,,,,43.247758,76.815182,https://2gis.com/firm/70000001020359681,branch
Indigo,частный детский сад,Частные детские сады,"улица Кенесары хана, 122/4",,,Курамыс м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.6,21,,,,,,,,https://instagram.com/indigo_nursery_almaty,,,https://wa.me/77071515141,,,,,,,,43.191932,76.854847,https://2gis.com/firm/70000001029492019,branch
Нурлы Тан,частный детский сад,Частные детские сады,"улица Маулена Балакаева, 65",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,1.0,3,87474070320,87477007098,,,,,,,,,https://wa.me/77474070320,https://wa.me/77477007098,,,,,,,43.201189,76.831953,https://2gis.com/firm/70000001076178288,branch
Балдырған,частный детский сад,Частные детские сады,"10-й микрорайон, 12а",,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.2,40,87474337926,87474337926,,,,,,https://instagram.com/baldirgan_balabagshasy,,,https://wa.me/77474337926,https://wa.me/77474337926,,,,,,,43.217681,76.86552,https://2gis.com/firm/70000001064785867,branch
Керемет,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 72",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.1,16,87273816328,87017997739,,,,http://babykeremet.kz,,https://instagram.com/baby_keremet,,,https://wa.me/77017997739,,,,,,,,43.217214,76.850679,https://2gis.com/firm/9429940000796789,branch
Мурагер,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 149",1 этаж,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00,+05:00,,,87784183842 (единая справочная: пн-пт 8:00-19:00),87783750856 (единая справочная: пн-пт 8:00-19:00),,,,,,https://instagram.com/muragerdetskiisad,,,https://wa.me/77783750856,https://wa.me/77784183842,,,,,,,43.21557,76.84777,https://2gis.com/firm/70000001024678260,branch
FasTracKids,образовательный центр,Частные детские сады; Центры раннего развития детей; Детские сады; Дневные детские лагеря,"улица Нажимеденова, 29",,050070,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,3.8,5,87072602020,,,,,http://kargaly.fastrackids.kz/,,https://instagram.com/fastrackids_zaman,,,https://wa.me/77072602020,,,,,https://t.me/fastrackids_nahimova,,,43.171204,76.868594,https://2gis.com/firm/70000001059714570,branch
Асылым,частный детский сад,Частные детские сады,"улица Ашимова, 259",,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.6,17,87472414887,87072225085,,,,,,https://instagram.com/asylym_balabaksha_almaty,,,https://wa.me/77472414887,https://wa.me/77072225085,,,,,,,43.199246,76.822072,https://2gis.com/firm/70000001032615559,branch
Balalem,частный детский сад,Частные детские сады; Центры раннего развития детей,"Мамыр-4 микрорайон, 121а",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.8,8,87077554997,,,,,,,https://instagram.com/balalem_babyclub,,,https://wa.me/77077554997,,,,,,,,43.217233,76.843325,https://2gis.com/firm/70000001053416308,branch
Toddler,частный детский сад,Частные детские сады; Центры раннего развития детей; Детские / подростковые клубы,"улица Редько, 19",,,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.5,40,87771121398,,,,,http://toddler.2gis.biz,,https://instagram.com/toddler_almaty,,,https://wa.me/77771121398,,,,,,,,43.165017,76.878857,https://2gis.com/firm/9429940000938833,branch
Sisters,частный детский сад,Частные детские сады,"улица Сагдиева, 81",,050067,Таусамалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,4.4,8,87076078004,87002002258,,,,,,https://instagram.com/sisters_balabaqshasy,,,https://wa.me/77002002258,https://wa.me/77076078004,,,,,,,43.187723,76.829433,https://2gis.com/firm/70000001063470213,branch
Леопольд,частный детский сад,Частные детские сады,"улица Рипинского, 38",1 этаж,050006,Калкаман-2 м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00,+05:00,5.0,10,87078347263,87026000507,,,,,,https://instagram.com/leopold.sadik,,,https://wa.me/77078347263,https://wa.me/77026000507,,,,,,,43.206356,76.826255,https://2gis.com/firm/70000001025492519,branch
Ахляк,частный детский сад,Частные детские сады,"улица Казыбек Тауасарулы, 47",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.4,14,87074541833,,,,,,,https://instagram.com/ahlyak_balabaqsha,,,https://wa.me/77074541833,,,,,,,,43.177996,76.898026,https://2gis.com/firm/70000001036978354,branch
Лоло,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 13",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.2,14,87055594200,,,,,,,https://instagram.com/lolo_kindergarten_almaty,,,https://wa.me/77055594200,,,viber://chat/?number=77055594200,,,,,43.21577,76.842104,https://2gis.com/firm/70000001033615800,branch
Al-Farabi kids,частный детский сад,Частные детские сады,"улица Хусаинова, 187",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.3,16,87070492258,,,,,,,https://instagram.com/al_farabi_kids,,,https://wa.me/77012222552,,,,,,,,43.211944,76.891912,https://2gis.com/firm/70000001077236804,branch
Евушка,частный детский сад,Частные детские сады,"улица Суртибаева, 15",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,5.0,16,87055552526,87075552526,,,,,,https://instagram.com/evushka_almaty,,,https://wa.me/77055552526,https://wa.me/77075552526,,,,,,,43.195813,76.85719,https://2gis.com/firm/70000001076080519,branch
Үкілі Үміт,частный детский сад,Частные детские сады,"микрорайон 3-й, 9а/1",,050062,3-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.7,19,87478225891,87478171134,,,,,,https://instagram.com/sad_ukili_umit,,,https://wa.me/77478225891,https://wa.me/77478171134,,,,,,,43.224619,76.84961,https://2gis.com/firm/70000001017547669,branch
Ясли-детский сад Дарын,,Частные детские сады,"улица Абулхайр-хан, 18",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.3,16,87474034541,,,,,,,https://instagram.com/sadik.daryn,,,https://wa.me/77474034541,,,,,,,,43.18765,76.900899,https://2gis.com/firm/70000001033248436,branch
Rauza kids,частный детский сад,Частные детские сады,"улица Подгорная, 6а",,050023,Баганашыл м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:30-18:30; Вт: 07:30-18:30; Ср: 07:30-18:30; Чт: 07:30-18:30; Пт: 07:30-18:30,+05:00,5.0,1,87784085540,,,,,,,,,,https://wa.me/77784085540,,,,,,,,43.196415,76.913696,https://2gis.com/firm/70000001088205984,branch
Алтын Алма,частный детский сад,Частные детские сады,"микрорайон Атамекен, 192",1 этаж,050052,Атамекен м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.3,26,87476168458,,,,,http://a-alma.kz,,https://instagram.com/detskii_sad_altyn_alma,,,https://wa.me/77476168458,,,,,,,,43.207051,76.850578,https://2gis.com/firm/9429940001278627,branch
Диар,частный детский сад,Частные детские сады,"2-й микрорайон, 40г",1 этаж,050062,2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.6,40,87073511656,,,,,,,https://instagram.com/det.sad_diar_almaty,,,https://wa.me/77707351165,https://wa.me/77073511656,,,,,,,43.232704,76.860029,https://2gis.com/firm/70000001029888292,branch
Говорун,частный детский сад,Частные детские сады,"улица Байзакова, 244",,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:30-18:30; Вт: 07:30-18:30; Ср: 07:30-18:30; Чт: 07:30-18:30; Пт: 07:30-18:30,+05:00,4.5,40,87472021990,87770091222,,,,,,https://instagram.com/govorunkz2024,,,https://wa.me/77472021990,,,,,,,,43.242571,76.914522,https://2gis.com/firm/70000001063340724,branch
Балашым,частный детский сад,Частные детские сады,"улица Попова, 27",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.9,36,87089742931,,,,,,,https://instagram.com/sadbalashym,,,https://wa.me/77089742931,,,,,,,,43.224277,76.931005,https://2gis.com/firm/70000001061509582,branch
Балапаным,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 212",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.1,23,87786842126,87074973787,,,,,,https://instagram.com/balapanym_menim,,,https://wa.me/77074973787,https://wa.me/77786842126,,,,,,,43.214508,76.851787,https://2gis.com/firm/70000001062808970,branch
Super kinder,частный детский сад,Частные детские сады,"улица Танжарык, 14",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.8,22,87081568101,87077757313,,,,,,https://instagram.com/superkinder_balabakshasi,,,https://wa.me/77077757313,https://wa.me/77057757313,,,,,,,43.190082,76.911854,https://2gis.com/firm/70000001057652832,branch
Toddler Preschool,частный детский сад,Частные детские сады,"улица Каныша Сатпаева, 90/36 блок 1",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,4.6,101,87070663858,,,,,http://Toddler.kz,,https://instagram.com/toddler_preschool,,,https://wa.me/77070663858,,,,,,,,43.231414,76.874177,https://2gis.com/firm/70000001041860099,branch
Улыбка,частный детский сад,Частные детские сады,"улица Ахмедьярова, 27",около школы №77,050040,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.7,14,,,,,,http://instasale.kz/sadikulibka,,https://instagram.com/sadik.ulibka2023,,,,,,,,https://t.me/+77755752312,,,43.216797,76.949491,https://2gis.com/firm/70000001076298862,branch
Unicus,частный детский сад,Частные детские сады,"улица Саяна Шаймерденова, 17т",1 этаж,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.8,44,87012600888,87078623089,,,,http://www.unicus.tilda.ws,,https://instagram.com/unicus.kz,,,https://wa.me/77012600888,https://wa.me/77078623089,,,,,,,43.200728,76.854285,https://2gis.com/firm/70000001038508788,branch
I-sana,частный детский сад,Частные детские сады,"улица Римовой, 11",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:45-18:30; Вт: 07:45-18:30; Ср: 07:45-18:30; Чт: 07:45-18:30; Пт: 07:45-18:30,+05:00,4.9,18,87071115508,87767447356,,,,,,https://instagram.com/i_sana.almaty,,,https://wa.me/77071115508,https://wa.me/77767447356,,,,,,,43.201434,76.860681,https://2gis.com/firm/70000001079603707,branch
Алтын урпак,частный детский сад,Частные детские сады,"микрорайон Шабыт, 21",,050052,Шабыт м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,5.0,12,87273384036,,,,,,,https://instagram.com/altyn__urpaq__almaty,,,,,,,,,,,43.203755,76.848457,https://2gis.com/firm/70000001046228794,branch
Айзере,частный детский сад,Частные детские сады,"Бекзат Саттарханова улица, 3",1 этаж,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.9,38,87017991635,,,,,,,https://instagram.com/aizeresadik,,,https://wa.me/77017991635,,,,,,,,43.201473,76.852636,https://2gis.com/firm/70000001032042497,branch
Зере,частный детский сад,Частные детские сады; Языковые школы; Спортивные секции; Детские / подростковые клубы,"микрорайон Атамекен, 70Б",,050052,Атамекен м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.5,54,87478440270,,,,,,,https://instagram.com/zeredetskiysad,,,https://wa.me/77478440270,,,,,,,,43.208633,76.845551,https://2gis.com/firm/70000001022647223,branch
Daryndy kids,частный детский сад,Частные детские сады,"улица Турдыкуловой, 25",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,5.0,6,87478702470,87024697928,,,,,,https://instagram.com/daryndy_kids,,,https://wa.me/77478702470,https://wa.me/77024697928,,,,,,,43.194289,76.853095,https://2gis.com/firm/70000001084106525,branch
GoodVel,частный детский сад,Частные детские сады,"улица Курмангазы, 84а",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.3,41,87783678888,,,,,,,https://instagram.com/goodvel.kz,,,https://wa.me/77783678888,,,,,,,,43.243782,76.936811,https://2gis.com/firm/9429940001661464,branch
Bala Land,детский центр,Частные детские сады; Центры раннего развития детей,"улица Навои, 7",1 этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:30; Вт: 08:30-18:30; Ср: 08:30-18:30; Чт: 08:30-18:30; Пт: 08:30-18:30,+05:00,4.4,24,87478254553,,,,,http://Www.bala-land.kz,,https://instagram.com/bala_land_center,,,https://wa.me/77478254553,,,,,,,,43.217995,76.880177,https://2gis.com/firm/70000001063717821,branch
KIS Edelweiss Campus,частный детский сад,Частные детские сады,"улица Жамакаева, 256а",,050044,Эдельвейс м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00,+05:00,,,87017700708,,,,,http://kisnet.org,,https://instagram.com/kischool_almaty,https://facebook.com/kischoolalmaty,,https://wa.me/77017700708,,,,,,,,43.206575,76.953266,https://2gis.com/firm/70000001070113345,branch
Айбала,частный детский сад,Частные детские сады,"улица Тлендиева, 215","1, 2 этаж",050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00,+05:00,3.4,17,87753854604,87272254183,87015954814,,,,,https://instagram.com/aibala_balabakshasy,,,https://wa.me/77015954814,,,,,,,,43.238676,76.873651,https://2gis.com/firm/70000001029855335,branch
Детский сад на Жангельдина,частный детский сад,Частные детские сады,"улица Жангельдина, 103",,050018,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.2,15,87273801341,87757617282,87022220632,,,,,,,,https://wa.me/77022220632,https://wa.me/77757617282,,,,,,,43.279341,76.956308,https://2gis.com/firm/70000001021845654,branch
AMS Poznai-ka,монтессори-сад,Частные детские сады; Центры раннего развития детей,"улица Иванилова, 42в",,050059,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,5.0,1,87772698537,87772143692,,,,,,https://instagram.com/almaty_poznaika,,,,,,,,,,,43.213053,76.955333,https://2gis.com/firm/70000001081171867,branch
Alpha Generation,детский центр,Частные детские сады; Детские / подростковые клубы; Центры раннего развития детей; Логопед; Помощь в обучении,"улица Ходжанова, 55Б",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,5.0,18,87272455468,87073419990,,,,,,https://instagram.com/alpha_generation,,,https://wa.me/77073419990,,,,,,,,43.210483,76.90968,https://2gis.com/firm/9429940001387834,branch
Tender Care,британский детский сад,Частные детские сады,"улица Ходжанова, 76",4 блок; 1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:30-20:00; Вт: 07:30-20:00; Ср: 07:30-20:00; Чт: 07:30-20:00; Пт: 07:30-20:00,+05:00,4.0,33,,,,,,,,https://instagram.com/british_kindergarten,,,,,,,,,,,43.20724,76.911458,https://2gis.com/firm/70000001022721317,branch
Альтаир,частный детский сад,Частные детские сады,"улица Айтыкова, 14",,050018,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.9,32,87273670763,87477500627,,,,,,https://instagram.com/too_altair_,,,https://wa.me/77477500627,,,,,,,,43.292566,76.964008,https://2gis.com/firm/70000001017247679,branch
Super Дети,детский развивающий центр,Частные детские сады; Центры раннего развития детей; Логопед; Детские / подростковые клубы,"улица Солодовникова, 21а",2 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30,+05:00,3.2,19,87081075287,,,,,,,https://instagram.com/superdeti_minisad,,,https://wa.me/77081075287,,,,,,,,43.23331,76.893152,https://2gis.com/firm/70000001055314036,branch
isana balabaqsha,детский сад премиум класса,Частные детские сады; Центры раннего развития детей,"улица Шолпан Жандарбекова, 103",1-2 этаж,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.8,19,87058887244,,,,,,,https://instagram.com/isana.balabaqsha,,,https://wa.me/77058887244,,,,,,,,43.190979,76.924133,https://2gis.com/firm/70000001064540896,branch
Умка-Тумка,частный детский сад,Частные детские сады,"улица Ильяса Жансугурова, 203",,050066,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,3.0,7,87021004759,,,,,,,,,,https://wa.me/77021004759,,,,,,,,43.295694,76.933887,https://2gis.com/firm/9429940000897095,branch
Страна детства,частный детский сад,Частные детские сады,"улица Волочаевская, 357",,050019,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.8,45,87052217160,87273396293,,,,,,https://instagram.com/strana_detstva.kz,,,https://wa.me/77052217160,,,,,,,,43.294959,76.971912,https://2gis.com/firm/9429940000801979,branch
Oxford Academy Almaty,английский частный детский сад,Частные детские сады; Центры раннего развития детей,"улица Затаевича, 77",,050040,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00,+05:00,4.7,20,87057709179,87019933390,,,,http://oxfordacademy.kz,,https://instagram.com/oxfordacademyalmaty,https://facebook.com/Oxford-Academy-Almaty-135474999869355/timeline,,https://wa.me/77019933390,https://wa.me/77057709179,,,,,,,43.216918,76.941107,https://2gis.com/firm/9429940000789237,branch
Адина,частный детский сад,Частные детские сады,"улица Табигат, 1",,050015,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.8,45,87781301717,87074973787,,,,,,https://instagram.com/sadikalmaty,,,https://wa.me/77781301717,https://wa.me/77074973787,,,,,,,43.291426,76.899932,https://2gis.com/firm/70000001040036602,branch
Акуна Матата,частный детский сад,Частные детские сады,"улица Аралкум, 6",,050048,Карасу м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.3,28,87471808145,87017799145,,,,,,https://instagram.com/sad_akuna_matata,,,https://wa.me/77471808145,https://wa.me/77017799145,,,,,,,43.329448,76.905713,https://2gis.com/firm/70000001044817791,branch
Биғайша,частный детский сад,Частные детские сады,"улица Бекболата, 29/1",1 этаж,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.7,79,87028000999,87028064937,,,,,,https://instagram.com/bigaisha_balabakshasy,,,https://wa.me/77028000999,https://wa.me/77028064937,,,,,,,43.309207,76.889231,https://2gis.com/firm/70000001020826704,branch
Twins,детский центр развития и коррекции,Частные детские сады; Центры раннего развития детей; Центры адаптивного спорта; Логопед; Детские / подростковые клубы,"улица Тынышбаева, 9",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.3,23,87082028220,,,,,,,https://instagram.com/aa_twins.kz,,,https://wa.me/77054373356,,,,,,,,43.339555,76.946174,https://2gis.com/firm/70000001067950600,branch
Аманат,частный детский сад,Частные детские сады,"улица Гоголя, 156",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00,+05:00,3.5,17,87762285488,,,,,,,https://instagram.com/amanat.balabaksha,,,https://wa.me/77762285488,,,,,,,,43.257608,76.915375,https://2gis.com/firm/70000001084111560,branch
Биржан,частный детский сад,Частные детские сады,"улица Зимняя, 2",,050039,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 07:30-19:00; Вт: 07:30-19:00; Ср: 07:30-19:00; Чт: 07:30-19:00; Пт: 07:30-19:00,+05:00,4.7,28,87759933766,87272514858,87772555578,,,,,https://instagram.com/det.sad.birzhan,,,https://wa.me/77759933766,https://wa.me/77772555578,,,,,,,43.353315,76.989217,https://2gis.com/firm/70000001049488100,branch
